education,edu_yrs,sex,capital_gain,hours_per_week,income
Some-college,10,Male,0,40,<=50K
Some-college,10,Male,0,45,<=50K
HS-grad,9,Male,0,50,>50K
HS-grad,9,Female,0,50,<=50K
Doctorate,16,Male,0,40,>50K
HS-grad,9,Male,0,20,<=50K
11th,7,Male,0,40,<=50K
HS-grad,9,Male,0,20,<=50K
Some-college,10,Female,8614,39,>50K
1st-4th,2,Male,0,35,<=50K
Some-college,10,Male,0,40,<=50K
Some-college,10,Female,0,60,<=50K
HS-grad,9,Female,0,40,<=50K
HS-grad,9,Female,2202,35,<=50K
Some-college,10,Male,2202,50,<=50K
HS-grad,9,Female,0,40,<=50K
Bachelors,13,Male,0,40,>50K
HS-grad,9,Male,0,35,<=50K
11th,7,Female,0,40,<=50K
Assoc-voc,11,Male,0,40,<=50K
Some-college,10,Male,0,20,<=50K
Some-college,10,Female,0,35,<=50K
Bachelors,13,Female,0,40,<=50K
HS-grad,9,Female,0,50,<=50K
HS-grad,9,Male,0,65,<=50K
HS-grad,9,Female,0,40,<=50K
Prof-school,15,Male,0,50,>50K
HS-grad,9,Male,2463,40,<=50K
Bachelors,13,Female,0,40,<=50K
Bachelors,13,Male,0,13,<=50K
Masters,14,Male,0,40,>50K
Some-college,10,Male,4787,50,>50K
Bachelors,13,Male,0,20,<=50K
HS-grad,9,Male,0,50,<=50K
Masters,14,Male,0,40,>50K
Some-college,10,Male,0,40,<=50K
Prof-school,15,Male,0,50,>50K
Bachelors,13,Female,0,45,<=50K
1st-4th,2,Male,0,40,<=50K
11th,7,Male,0,7,<=50K
HS-grad,9,Female,0,40,<=50K
Assoc-voc,11,Male,0,45,<=50K
Bachelors,13,Male,0,15,<=50K
HS-grad,9,Female,0,40,<=50K
Some-college,10,Male,0,45,>50K
Masters,14,Male,0,60,>50K
Some-college,10,Male,0,40,<=50K
Some-college,10,Male,0,35,<=50K
10th,6,Male,0,30,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Male,0,40,>50K
Some-college,10,Female,0,43,<=50K
Some-college,10,Female,0,45,<=50K
Some-college,10,Male,0,40,<=50K
10th,6,Male,0,60,<=50K
Assoc-voc,11,Male,0,40,>50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Male,0,50,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,2597,40,<=50K
Bachelors,13,Female,0,55,>50K
Assoc-acdm,12,Female,0,40,<=50K
HS-grad,9,Female,0,30,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
10th,6,Male,2414,80,<=50K
Some-college,10,Female,594,15,<=50K
12th,8,Male,0,40,>50K
10th,6,Male,0,90,>50K
HS-grad,9,Female,0,25,<=50K
HS-grad,9,Male,0,40,<=50K
7th-8th,4,Male,0,70,<=50K
Some-college,10,Female,0,40,<=50K
Doctorate,16,Male,0,40,<=50K
Assoc-voc,11,Male,0,40,<=50K
HS-grad,9,Female,0,43,<=50K
Masters,14,Male,0,50,>50K
HS-grad,9,Male,0,40,<=50K
Prof-school,15,Male,99999,50,>50K
Bachelors,13,Male,10520,45,>50K
Bachelors,13,Male,0,41,<=50K
1st-4th,2,Female,0,15,<=50K
Some-college,10,Female,1055,32,<=50K
Some-college,10,Female,7443,40,<=50K
Assoc-voc,11,Female,0,40,<=50K
5th-6th,3,Male,0,35,<=50K
HS-grad,9,Female,0,40,>50K
Assoc-voc,11,Male,15024,40,>50K
Some-college,10,Male,0,40,>50K
Masters,14,Male,0,40,<=50K
Bachelors,13,Female,5178,42,>50K
HS-grad,9,Male,0,50,<=50K
Bachelors,13,Male,0,40,<=50K
Some-college,10,Male,0,35,<=50K
HS-grad,9,Male,0,40,<=50K
9th,5,Male,0,40,<=50K
HS-grad,9,Male,3325,50,<=50K
Masters,14,Male,0,50,>50K
Some-college,10,Male,0,40,>50K
HS-grad,9,Female,0,40,<=50K
7th-8th,4,Male,0,40,<=50K
Bachelors,13,Male,0,60,>50K
Bachelors,13,Female,0,40,<=50K
Bachelors,13,Male,0,40,>50K
11th,7,Male,0,40,<=50K
11th,7,Male,0,36,<=50K
Bachelors,13,Male,0,52,>50K
Bachelors,13,Male,5178,40,>50K
11th,7,Male,0,55,<=50K
Some-college,10,Male,0,60,<=50K
HS-grad,9,Male,0,55,<=50K
Bachelors,13,Male,0,60,>50K
Bachelors,13,Male,0,45,<=50K
Some-college,10,Male,0,40,<=50K
Assoc-acdm,12,Female,0,20,<=50K
11th,7,Male,0,40,<=50K
Bachelors,13,Male,0,50,>50K
Bachelors,13,Male,0,45,>50K
HS-grad,9,Male,0,30,<=50K
7th-8th,4,Male,2829,40,<=50K
Some-college,10,Female,0,35,<=50K
11th,7,Male,0,40,<=50K
Assoc-voc,11,Male,0,40,<=50K
Assoc-voc,11,Female,7688,44,>50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Female,0,16,<=50K
Some-college,10,Female,0,35,<=50K
HS-grad,9,Male,0,48,>50K
HS-grad,9,Male,0,40,<=50K
Assoc-acdm,12,Female,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
Assoc-acdm,12,Male,0,40,<=50K
7th-8th,4,Male,0,40,<=50K
10th,6,Male,0,30,<=50K
HS-grad,9,Male,7688,25,>50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Male,0,20,<=50K
12th,8,Male,7688,40,>50K
Bachelors,13,Male,0,40,<=50K
Bachelors,13,Male,15024,60,>50K
9th,5,Male,0,35,<=50K
HS-grad,9,Male,0,40,<=50K
Masters,14,Female,8614,55,>50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,40,>50K
Bachelors,13,Male,0,45,>50K
HS-grad,9,Female,0,50,<=50K
Bachelors,13,Male,0,40,>50K
Bachelors,13,Male,0,30,<=50K
Prof-school,15,Male,0,50,>50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Female,0,35,>50K
HS-grad,9,Female,0,35,<=50K
12th,8,Male,0,40,<=50K
10th,6,Male,0,40,<=50K
Bachelors,13,Male,0,20,<=50K
11th,7,Male,0,15,<=50K
Some-college,10,Female,0,15,<=50K
Bachelors,13,Female,0,40,>50K
Bachelors,13,Male,0,50,>50K
Masters,14,Female,0,40,>50K
HS-grad,9,Male,0,50,>50K
Bachelors,13,Male,0,40,>50K
HS-grad,9,Female,0,36,<=50K
11th,7,Female,0,32,<=50K
Bachelors,13,Male,0,40,<=50K
Bachelors,13,Female,4101,40,<=50K
Some-college,10,Male,0,60,>50K
HS-grad,9,Male,0,60,<=50K
Bachelors,13,Male,0,40,>50K
7th-8th,4,Female,0,30,<=50K
Bachelors,13,Female,0,40,<=50K
Some-college,10,Male,0,30,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,30,<=50K
Assoc-voc,11,Male,0,15,<=50K
Bachelors,13,Male,0,40,>50K
11th,7,Male,0,12,<=50K
HS-grad,9,Male,0,40,<=50K
Bachelors,13,Female,0,43,<=50K
12th,8,Female,0,50,<=50K
Some-college,10,Male,4934,51,>50K
12th,8,Female,0,30,<=50K
Bachelors,13,Male,0,60,>50K
Some-college,10,Female,0,25,<=50K
HS-grad,9,Male,0,78,>50K
HS-grad,9,Male,0,55,>50K
11th,7,Male,594,10,<=50K
Some-college,10,Male,0,48,<=50K
Some-college,10,Male,0,80,<=50K
Some-college,10,Female,0,40,<=50K
Bachelors,13,Male,0,40,>50K
HS-grad,9,Male,0,40,>50K
HS-grad,9,Male,0,25,<=50K
Some-college,10,Male,99999,20,>50K
HS-grad,9,Male,0,40,<=50K
11th,7,Male,0,35,<=50K
Bachelors,13,Male,0,45,>50K
Some-college,10,Male,0,99,<=50K
Masters,14,Female,0,45,>50K
Some-college,10,Female,0,15,<=50K
Some-college,10,Male,5178,40,>50K
HS-grad,9,Female,0,32,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
11th,7,Female,0,10,<=50K
Some-college,10,Male,0,70,<=50K
Doctorate,16,Female,0,48,>50K
Some-college,10,Male,0,42,<=50K
Bachelors,13,Female,0,21,<=50K
Some-college,10,Female,0,15,>50K
HS-grad,9,Male,2105,40,<=50K
Some-college,10,Male,0,30,<=50K
Some-college,10,Female,1055,40,<=50K
Bachelors,13,Male,10605,10,>50K
1st-4th,2,Female,0,40,<=50K
Masters,14,Female,15831,72,>50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Male,0,30,<=50K
Bachelors,13,Female,0,15,<=50K
HS-grad,9,Male,0,28,<=50K
HS-grad,9,Male,0,50,<=50K
HS-grad,9,Female,0,34,<=50K
HS-grad,9,Male,0,53,<=50K
Bachelors,13,Male,0,50,>50K
HS-grad,9,Male,0,15,<=50K
9th,5,Male,0,60,<=50K
HS-grad,9,Female,0,30,<=50K
HS-grad,9,Male,0,43,>50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,40,<=50K
Masters,14,Female,0,40,>50K
Assoc-voc,11,Female,0,52,<=50K
HS-grad,9,Male,5178,40,>50K
Bachelors,13,Male,0,40,<=50K
Bachelors,13,Male,15024,40,>50K
10th,6,Female,0,20,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
9th,5,Female,0,23,<=50K
Some-college,10,Female,0,35,<=50K
HS-grad,9,Male,0,45,<=50K
HS-grad,9,Male,0,90,<=50K
HS-grad,9,Male,0,25,<=50K
Bachelors,13,Male,0,43,<=50K
Bachelors,13,Male,0,40,<=50K
Assoc-voc,11,Male,0,50,>50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,4,<=50K
HS-grad,9,Female,0,40,<=50K
11th,7,Female,0,30,<=50K
Some-college,10,Male,0,45,<=50K
HS-grad,9,Male,0,40,<=50K
10th,6,Female,0,36,<=50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Female,0,46,>50K
Some-college,10,Female,0,9,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,40,<=50K
Masters,14,Female,0,40,<=50K
11th,7,Male,0,40,<=50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
Bachelors,13,Male,0,30,>50K
HS-grad,9,Female,0,46,<=50K
HS-grad,9,Male,0,40,<=50K
11th,7,Female,0,40,<=50K
7th-8th,4,Male,0,40,<=50K
Some-college,10,Male,7298,60,>50K
Some-college,10,Male,0,14,<=50K
Bachelors,13,Male,0,45,>50K
9th,5,Male,0,50,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
10th,6,Male,0,40,<=50K
Doctorate,16,Male,0,35,>50K
HS-grad,9,Male,0,40,<=50K
9th,5,Female,0,36,<=50K
9th,5,Male,0,60,>50K
HS-grad,9,Female,0,44,<=50K
Bachelors,13,Female,0,70,<=50K
Bachelors,13,Male,13550,45,>50K
HS-grad,9,Male,0,40,<=50K
Bachelors,13,Male,0,40,<=50K
Assoc-acdm,12,Male,7298,20,>50K
Bachelors,13,Male,0,55,>50K
Assoc-voc,11,Female,0,38,<=50K
HS-grad,9,Male,0,60,<=50K
Some-college,10,Male,0,43,<=50K
9th,5,Male,0,40,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Female,0,45,<=50K
HS-grad,9,Female,2597,40,<=50K
HS-grad,9,Male,7298,40,>50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,12,<=50K
Assoc-acdm,12,Female,0,35,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Female,0,20,<=50K
Some-college,10,Female,0,40,>50K
Bachelors,13,Male,0,40,<=50K
Some-college,10,Male,0,40,>50K
Prof-school,15,Female,14084,50,>50K
Some-college,10,Female,7688,40,>50K
HS-grad,9,Female,0,40,<=50K
Bachelors,13,Male,0,40,<=50K
HS-grad,9,Male,0,50,<=50K
7th-8th,4,Male,0,10,<=50K
Bachelors,13,Male,0,55,<=50K
Masters,14,Male,7298,40,>50K
Masters,14,Female,0,40,<=50K
Masters,14,Male,0,40,>50K
Some-college,10,Male,0,52,<=50K
Some-college,10,Male,0,40,>50K
Some-college,10,Male,0,37,>50K
Bachelors,13,Male,0,40,>50K
HS-grad,9,Female,0,38,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
Bachelors,13,Male,0,70,>50K
9th,5,Female,0,40,<=50K
